Astralis: rating = 2205.433369202648, rd = 45.611264581676835
Natus Vincere: rating = 1996.4763998042204, rd = 42.735474824819356
Liquid: rating = 1930.5097906513802, rd = 41.81646415988665
mousesports: rating = 1888.6176018747362, rd = 41.71344540969003
BIG: rating = 1879.5092148992542, rd = 42.95367696050025
fnatic: rating = 1874.4530192289142, rd = 41.256308482299275
North: rating = 1837.0913578292657, rd = 41.407815025003025
FaZe Clan: rating = 1836.681767884565, rd = 42.151295382047095
Ninjas in Pyjamas: rating = 1817.956620583545, rd = 41.62172542737176
HellRaisers: rating = 1791.3745441225133, rd = 41.2786477524966
compLexity: rating = 1791.368233666948, rd = 47.75446730139372
OpTic: rating = 1775.3111915259228, rd = 41.928045700577606
Rogue: rating = 1762.3921431475883, rd = 49.781059798329395
Imperial: rating = 1756.8403330018918, rd = 45.938274088252015
Space Soldiers: rating = 1744.694186502718, rd = 41.3442843193189
MiBR: rating = 1739.4633340273635, rd = 41.30982999434768
AGO: rating = 1717.764996437959, rd = 41.36864598177408
GODSENT: rating = 1713.8120679468607, rd = 41.058894702530566
Fragsters: rating = 1700.1681335450726, rd = 45.25315411480704
TyLoo: rating = 1694.2426641957368, rd = 42.231159310338896
